iter	Passed	Remaining
971	12110	87561
972	12117	87509
973	12130	87500
974	12143	87496
975	12157	87494
976	12171	87491
977	12183	87473
978	12197	87476
979	12215	87502
980	12229	87498
981	12242	87492
982	12255	87487
983	12269	87481
984	12282	87472
985	12296	87475
986	12309	87466
987	12323	87463
988	12337	87460
989	12349	87443
990	12363	87441
991	12376	87436
992	12390	87433
993	12404	87431
994	12418	87427
995	12432	87424
996	12445	87419
997	12459	87416
998	12473	87414
999	12487	87409
1000	12500	87405
1001	12514	87400
1002	12519	87339
1003	12533	87333
1004	12546	87327
1005	12550	87252
1006	12563	87248
1007	12577	87243
1008	12591	87238
1009	12595	87172
1010	12609	87168
1011	12622	87162
1012	12627	87094
1013	12634	87044
1014	12648	87043
1015	12659	87024
1016	12674	87023
1017	12687	87021
1018	12701	87018
1019	12715	87015
1020	12729	87012
1021	12743	87012
1022	12757	87009
1023	12772	87010
1024	12788	87025
1025	12803	87026
1026	12806	86950
1027	12820	86950
1028	12834	86946
1029	12848	86945
1030	12862	86943
1031	12875	86937
1032	12880	86872
1033	12894	86867
1034	12907	86861
1035	12921	86857
1036	12925	86787
1037	12938	86779
1038	12953	86782
1039	12966	86779
1040	12981	86777
1041	12994	86773
1042	13009	86773
1043	13022	86768
1044	13036	86764
1045	13050	86761
1046	13064	86756
1047	13077	86750
1048	13091	86749
1049	13105	86745
1050	13118	86739
1051	13132	86735
1052	13139	86687
1053	13153	86682
1054	13167	86679
1055	13180	86669
1056	13195	86673
1057	13208	86667
1058	13222	86664
1059	13235	86654
1060	13249	86650
1061	13254	86594
1062	13259	86530
1063	13266	86480
1064	13273	86431
1065	13286	86427
1066	13292	86368
1067	13305	86362
1068	13319	86357
1069	13333	86353
1070	13337	86292
1071	13352	86295
1072	13367	86300
1073	13381	86294
1074	13392	86273
1075	13406	86268
1076	13420	86265
1077	13433	86261
1078	13447	86257
1079	13461	86250
1080	13474	86246
1081	13480	86193
1082	13494	86188
1083	13508	86184
1084	13522	86182
1085	13536	86179
1086	13549	86173
1087	13563	86168
1088	13577	86163
1089	13582	86104
1090	13595	86099
1091	13609	86095
1092	13623	86094
1093	13637	86088
1094	13651	86085
1095	13665	86080
1096	13678	86075
1097	13691	86067
1098	13705	86063
1099	13720	86064
1100	13734	86060
1101	13747	86051
1102	13761	86047
1103	13774	86042
1104	13789	86046
1105	13803	86043
1106	13818	86044
1107	13823	85982
1108	13836	85977
1109	13849	85963
1110	13862	85958
1111	13873	85937
1112	13887	85933
1113	13892	85872
1114	13906	85868
1115	13919	85863
1116	13933	85859
1117	13947	85854
1118	13960	85849
1119	13974	85841
1120	13988	85838
1121	14002	85837
1122	14016	85834
1123	14030	85829
1124	14035	85772
1125	14049	85766
1126	14054	85711
1127	14058	85645
1128	14071	85640
1129	14079	85595
1130	14086	85551
1131	14101	85553
1132	14115	85549
1133	14119	85488
1134	14133	85483
1135	14147	85481
1136	14161	85480
1137	14166	85424
1138	14180	85417
1139	14193	85412
1140	14198	85351
1141	14211	85345
1142	14216	85286
1143	14221	85231
1144	14235	85226
1145	14240	85170
1146	14253	85162
1147	14267	85154
1148	14281	85152
1149	14287	85106
1150	14301	85099
1151	14315	85096
1152	14328	85087
